partReference,partRefer,rcCode,digitPart,supplierCode,companyName,tgpSuppliersCode,partLabel,moduleQuantity,moduleType,moduleVolume,moduleWeight,partWeight,moduleLength,moduleWidth,moduleHeight,partSpecificPackagingCode
210106094RB,210106094R,BD,210106094RBD,008AL7  ,MAGNA RICO POWERTRAIN                   ,NIS,PUMP ASSY-WATER     ,1008,ID,1.473,555,0.5,1180,1140,1095,NIS---DZAD
210106094RE,210106094R,ED,210106094RED,008AL7  ,MAGNA RICO POWERTRAIN                   ,NIS,PUMP ASSY-WATER     ,20,I0,0.017,11,0.5,380,275,160,NIS----DC4
210106094RJ,210106094R,JD,210106094RJD,008AL7  ,MAGNA RICO POWERTRAIN                   ,NIS,PUMP ASSY-WATER     ,840,ID,1.473,471,0.5,1180,1140,1095,NIS---DZAD
210106094RM,210106094R,63,210106094R63,269241,RICO FLUIDTRONICS                       ,1,PUMP COMPL- WATER   ,378,3P,0.961,241.484,0.578,1140,980,860,CAR-S*2991
210106094RT,210106094R,66,210106094R66,269241,RICO FLUIDTRONICS                       ,1,PUMP COMPL- WATER   ,378,3P,0.961,241.484,0.578,1140,980,860,CAR-S*2991
210106VB0AN,210106VB0A,ND,210106VB0AND,008AL7  ,MAGNA RICO POWERTRAIN                   ,NIS,PUMP ASSY-WATER     ,420,ID,1.473,261,0.5,1180,1140,1095,NIS---DZAD
210454718RE,210454718R,60,210454718R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PIPE-PUMP INLET W   ,20,40,0.005,3.08,0.149,300,200,90,CAR-G*40--
210455577RD,210455577R,68,210455577R68,268377,IMPERIAL AUTO INDISTRIES LIMITED        ,0,PIPE-PUMPINLETWATER ,2160,KD,3.373,588.84,0.149,2270,1170,1270,CKD---1HC5
210472938RE,210472938R,70,210472938R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,TUYAU ENTREE POMPE E,2,40,0,0.072,0.036,300,200,90,CAR-G*40--
210472938RM,210472938R,68,210472938R68,268377,IMPERIAL AUTO INDISTRIES LIMITED        ,0,TUBE-WATER PUMP INLE,150,ZR,0.07,6.33,0.035,545,355,360,CAR-S-3992
213051986RY,213051986R,66,213051986R66,26824701,MODINE THERMAL SYSTEMS PVT. LTD.        ,0,ENGINE OIL COOLER-K9,384,4H,0.737,241.031,0.5743,1140,980,660,CAR-S*2990
213052032RA,213052032R,66,213052032R66,26824701,MODINE THERMAL SYSTEMS PVT. LTD.        ,0,EXCHANGEUR EAU HWLE ,384,4H,0.737,185.965,0.4309,1140,980,660,CAR-S*2990
213052032RE,213052032R,70,213052032R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,EXCHANGEUR EAU HWLE ,239,40,0.005,78.014,0.326,300,200,90,CAR-G*40--
213052926RK,213052926R,66,213052926R66,26824701,MODINE THERMAL SYSTEMS PVT. LTD.        ,0,HEAT EXCHANGER H5GEN,288,4H,0.737,153.156,0.412,1140,980,660,CAR-S*2990
213052926RU,213052926R,UC,213052926RUC,0010LS  ,MODINE THERMAL SYSTEMS PVT. LTD         ,NIS,"COOLER,ENG OIL WATER",36,FO,0.08,13.825,0.35,800,500,200,CAR-S-0701
213052926RY,213052926R,66,213052926R66,26824701,MODINE THERMAL SYSTEMS PVT. LTD.        ,0,HEAT EXCHANGER H5GEN,288,4H,0.737,153.156,0.412,1140,980,660,CAR-S*2990
213053566RE,213053566R,70,213053566R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,HEAT EXCHANGER      ,26,40,0.005,0.11,0.0004,300,200,90,CAR-G*40--
213053566RM,213053566R,70,213053566R70,26824701,MODINE THERMAL SYSTEMS PVT. LTD.        ,0,HEAT EXCHANGER RENAU,1020,KD,3.373,561.2,0.36,2270,1170,1270,CKD---1HC5
213053566RT,213053566R,60,213053566R60,26824701,MODINE THERMAL SYSTEMS PVT. LTD.        ,0,HEAT EXCHANGER RENAU,288,3P,0.961,143.68,0.36,1140,980,860,CAR-S*2991
213055917RE,213055917R,66,213055917R66,268247SP,MODINE THERMAL SYSTEMS PVT. LTD.        ,SR1,ECHANGEUR EAU HUILE ,368,16,0,146.464,0.398,300,200,125,CAR-G*16--
213055917RE,213055917R,70,213055917R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ECHANGEUR EAU HUILE ,368,16,0,146.464,0.398,300,200,125,CAR-G*16--
213055917RI,213055917R,66,213055917R66,26824701,MODINE THERMAL SYSTEMS PVT. LTD.        ,0,"COOLER, ENG OIL WATE",288,4H,0.737,127.06,0.37,1140,980,660,CAR-S*2990
213055917RK,213055917R,66,213055917R66,26824701,MODINE THERMAL SYSTEMS PVT. LTD.        ,0,"COOLER, ENG OIL WATE",288,4H,0.737,127.06,0.37,1140,980,660,CAR-S*2990
213055917RM,213055917R,60,213055917R60,268247,MODINE THERMAL SYSTEMS PVT. LTD.        ,0,"COOLER, ENG OIL WATE",288,4H,0.737,127.06,0.37,1140,980,660,CAR-S*2990
213055917RU,213055917R,UC,213055917RUC,0010LS  ,MODINE THERMAL SYSTEMS PVT. LTD         ,NIS,"COOLER, ENG OIL WATE",36,F0,0.068,14.7,0.35,560,380,320,NIS----DC1
213055917RY,213055917R,66,213055917R66,26824701,MODINE THERMAL SYSTEMS PVT. LTD.        ,0,"COOLER, ENG OIL WATE",288,4H,0.737,127.06,0.37,1140,980,660,CAR-S*2990
213055970RE,213055970R,60,213055970R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"COOLER, ENG OIL     ",2,40,0.005,0.1,0.0004,300,200,90,CAR-G*40--
214100842RE,214100842R,60,214100842R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,RADIATURE           ,1,9,0.072,1.36,0.8,600,400,300,CAR-G*09--
214102118RD,214102118R,63,214102118R63,400889,TATA TOYO                               ,0,RADIATOR            ,96,KD,3.373,366,1.5,2270,1170,1270,CKD---1HC5
214102118RE,214102118R,62,214102118R62,270697,NISSAN MOTORS INDIA P LTD               ,SR1,RADIATOR            ,2,40,0.005,2.78,1.34,300,200,90,CAR-G*40--
214762159RE,214762159R,60,214762159R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,CONVERGENT SUP ASS  ,12,40,0.005,2.584,0.207,300,200,90,CAR-G*40--
214765038RE,214765038R,60,214765038R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,CONVERGENT SUP ASS  ,26,40,0.005,10.5,0.4,300,200,90,CAR-G*40--
214769472RE,214769472R,60,214769472R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,GUIDE AIR UPR       ,2,40,0.005,2.078,0.989,300,200,90,CAR-G*40--
214814297RD,214814297R,58,214814297R58,402706,KINETIC ELECTRIC                        ,1,SHROUD ASSY-W/MOTOR ,130,KD,3.373,384.406,1.4646,2270,1170,1270,CKD---1HC5
214814297RE,214814297R,62,214814297R62,270697,NISSAN MOTORS INDIA P LTD               ,SR1,UNIT COMPL-MOTOR    ,150,40,0.005,221.8,1.478,300,200,90,CAR-G*40--
214814370RE,214814370R,60,214814370R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,FAN UNIT ENGINE COOL,1,9,0.072,3.575,3.015,600,400,300,CAR-G*09--
215015116RB,215015116R,66,215015116R66,270697,NISSAN MOTORS INDIA P LTD               ,SR1,TUBE-RAD INLET      ,5,40,0.005,0.55,0.09,300,200,90,CAR-G*40--
215015116RE,215015116R,60,215015116R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,TUBE-RAD INLET      ,1,40,0.005,1.072,0.972,300,200,90,CAR-G*40--
215016010RE,215016010R,60,215016010R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,TUYAU ENTREE RADIATE,9,40,0.005,2.314,0.246,300,200,90,CAR-G*40--
215017281RD,215017281R,68,215017281R68,268377,IMPERIAL AUTO INDISTRIES LIMITED        ,0,"HOSE-RAD,LWR ASSY   ",2700,KD,3.373,542.5,0.055,2270,1170,1270,CKD---1HC5
215018278RD,215018278R,60,215018278R60,268377,IMPERIAL AUTO INDISTRIES LIMITED        ,0,"HOSE-RAD,LWR ASSY   ",240,79,0.076,13.9,0.04,530,460,310,CAR-S-4102
215037966RB,215037966R,66,215037966R66,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PIPE-RADIATOR O     ,5,40,0.005,0.55,0.09,300,200,90,CAR-G*40--
215062710RD,215062710R,68,215062710R68,287554,SUJAN CONTI TECH AVS PVT LTD            ,0,"MTG-RAD,UPR         ",1100,YH,0.017,6.053,0.005,355,270,175,CAR-S-3961
215062710RE,215062710R,60,215062710R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,DMPR-ELASTIC        ,20,40,0.005,1.1,0.05,300,200,90,CAR-G*40--
215140660RD,215140660R,59,215140660R59,407289,MUBEA AUTOMOTIVE                        ,1,"COLR-MTG, RAD INLET ",940,YP,0.055,15.161,0.0091,500,480,230,CAR-S-3978
215142356RB,215142356R,66,215142356R66,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"COLR-MTG,HEATING RAD",2,40,0.005,1.036,0.468,300,200,90,CAR-G*40--
215395005RD,215395005R,60,215395005R60,402603,ARAYMOND                                ,0,BRG ASSY-RR WHEEL   ,500,YJ,0.032,5.553,0.01,380,280,300,CAR-S-3966
215422405RD,215422405R,60,215422405R60,293940,GRUPO COSMOS INDIA PRIVATE LTD          ,0,SCR-MTGBRAKECALIP   ,70,YG,0.014,5.987,0.078,355,270,150,CAR-S-3960
215532902RD,215532902R,71,215532902R71,263749,SELLOWRAP MANUFACTURING CO.             ,1,FOAM ON FMS RIGHT   ,150,ZR,0.07,2.895,0.0121,545,355,360,CAR-S-3992
215532902RE,215532902R,60,215532902R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"FOAM-SEAL, RH AIR   ",60,40,0.005,0.76,0.011,300,200,90,CAR-G*40--
215537534RD,215537534R,71,215537534R71,263749,SELLOWRAP MANUFACTURING CO.             ,1,FOAM ON FMS LEFT    ,300,ZR,0.07,3,0.0064,545,355,360,CAR-S-3992
215581205RE,215581205R,60,215581205R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"GUIDE-RH, AIR       ",2,40,0.005,0.44,0.17,300,200,90,CAR-G*40--
215592266RE,215592266R,60,215592266R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"FOAM-SEAL, LH AIR   ",1,40,0.005,0.106,0.006,300,200,90,CAR-G*40--
217103773RD,217103773R,60,217103773R60,27879401,ANU INDUSTRIES LTD.                     ,0,TANK-DEGASSING      ,28,ZR,0.07,6.456,0.192,545,355,360,CAR-S-3992
217103773RE,217103773R,60,217103773R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,TANK-DEGASSING      ,158,40,0,21.014,0.133,300,200,90,CAR-G*40--
217106136RB,217106136R,66,217106136R66,270697,NISSAN MOTORS INDIA P LTD               ,SR1,TANK-DEGASSING      ,2,40,0.005,1.036,0.468,300,200,90,CAR-G*40--
217126540RB,217126540R,66,217126540R66,270697,NISSAN MOTORS INDIA P LTD               ,SR1,CAP-DEGASSING T     ,2,40,0.005,0.28,0.09,300,200,90,CAR-G*40--
217128724RE,217128724R,60,217128724R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,CAP-DEGASSING TANK  ,59,40,0.005,2.224,0.036,300,200,90,CAR-G*40--
217412227RD,217412227R,60,217412227R60,268377,IMPERIAL AUTO INDISTRIES LIMITED        ,0,HOSE RESERVOIR      ,500,69,0.026,6.9,0.01,480,300,180,CAR-S-4103
217464068RD,217464068R,65,217464068R65,269240,ITW INDIA PVT. LTD.                     ,0,CLAMP               ,4000,ZR,0.07,17.08,0.004,545,355,360,CAR-S-3992
217465502RD,217465502R,66,217465502R66,269240,ITW INDIA PVT. LTD.                     ,0,CLAMP               ,2000,YH,0.017,4.553,0.002,355,270,175,CAR-S-3961
220603913RB,220603913R,66,220603913R66,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"SCR-MTG, MECH ANTI T",2,40,0.005,0.2,0.05,300,200,90,CAR-G*40--
220603913RE,220603913R,70,220603913R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"SCR-MTG, MECH ANTI T",50,40,0.005,2.2,0.042,300,200,90,CAR-G*40--
223202952RE,223202952R,60,223202952R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,TUBE-FUEL VAPOUR    ,2,40,0.005,0.156,0.028,300,200,90,CAR-G*40--
223203261RE,223203261R,70,223203261R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,BARRE TOIT LJT D    ,8,40,0.005,0.652,0.069,300,200,90,CAR-G*40--
223208211RE,223208211R,70,223208211R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,TUYAU DPRS POMPE VID,14,16,0.008,3.584,0.246,300,200,125,CAR-G*16--
223208211RE,223208211R,99,223208211R99,293099SP,BONY POLYMERS P LTD                     ,AS1,TUYAU DPRS POMPE VID,14,16,0.008,3.584,0.246,300,200,125,CAR-G*16--
223657797RE,223657797R,70,223657797R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,SEN AIR PRESSUR     ,2,40,0.005,0.144,0.022,300,200,90,CAR-G*40--
224017628RE,224017628R,70,224017628R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,BOUGIE ALLUMAGE 405 ,20,40,0.005,0.9,0.04,300,200,90,CAR-G*40--
224017628RM,224017628R,58,224017628R58,289007,FM-BHIWADI                              ,1,PLUG-SPARK          ,9000,V6,1.184,466,0.036,1190,1150,865,CKD---6IND
224330360RE,224330360R,59,224330360R59,289106,HITACHI                                 ,0,COIL IGNITION       ,87,40,0.005,1.613,0.0174,300,200,90,CAR-G*40--
224330360RE,224330360R,70,224330360R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,COIL IGNITION       ,87,40,0.005,1.613,0.0174,300,200,90,CAR-G*40--
224330360RT,224330360R,60,224330360R60,289106,HITACHI                                 ,0,IGNITION COIL-30MJ F,640,4H,0.737,131.86,0.174,1140,980,660,CAR-S*2990
224330437RE,224330437R,66,224330437R66,289106,HITACHI                                 ,0,COIL IGNITION       ,200,40,0.005,3.58,0.0174,300,200,90,CAR-G*40--
224330437RE,224330437R,70,224330437R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,COIL IGNITION       ,200,40,0.005,3.58,0.0174,300,200,90,CAR-G*40--
224330437RM,224330437R,60,224330437R60,289106,HITACHI                                 ,0,COIL-IGNITION       ,2816,KD,3.373,683.984,0.174,2270,1170,1270,CKD---1HC5
224332734RE,224332734R,99,224332734R99,270697,NISSAN MOTORS INDIA P LTD               ,SR1,BOBINE ALLUMAGE     ,30,9,0.072,5.96,0.18,600,400,300,CAR-G*09--
224334808RE,224334808R,70,224334808R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,COIL-IGNITION       ,8,40,0.005,1.46,0.17,300,200,90,CAR-G*40--
224334808RM,224334808R,60,224334808R60,289106,HITACHI                                 ,0,COIL-IGNITION       ,2816,KD,3.373,683.984,0.174,2270,1170,1270,CKD---1HC5
224481HC2BN,224481HC2B,NC,224481HC2BNC,008BN6  ,HITACHI AUTOMOTIVE SYSTEMS INDIAPVT LTD ,NIS,"COIL-ASSY,IGNITION  ",1152,ID,1.473,251.448,0.174,1180,1140,1095,NIS---DZAD
226516054RD,226516054R,60,226516054R60,402603,ARAYMOND                                ,0,PIN-CLIP            ,3000,YJ,0.032,8.053,0.0025,380,280,300,CAR-S-3966
226516054RE,226516054R,60,226516054R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,PIN-CLIP            ,100,40,0.005,0.2,0.001,300,200,90,CAR-G*40--
231000803RE,231000803R,60,231000803R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ALT B3PH RL 49.1 7V ,15,40,0.005,81.25,5.41,300,200,90,CAR-G*40--
231001107RE,231001107R,60,231001107R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ALTERNATEUR 90A     ,27,40,0.005,135.1,5,300,200,90,CAR-G*40--
231001107RE,231001107R,61,231001107R61,408599SP,ROBERT BOSCH STARTERS MOTORS GEN INDIA  ,AS1,ALTERNATEUR 90A     ,27,40,0.005,135.1,5,300,200,90,CAR-G*40--
231002854RE,231002854R,59,231002854R59,408599SP,ROBERT BOSCH STARTERS MOTORS GEN INDIA  ,AS1,ALTERNATEUR 90A     ,20,40,0.005,100.1,5,300,200,90,CAR-G*40--
231002854RE,231002854R,70,231002854R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ALTERNATEUR 90A     ,20,40,0.005,100.1,5,300,200,90,CAR-G*40--
231003071RE,231003071R,70,231003071R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ALTERNATEUR 90A     ,2,40,0.005,10.1,5,300,200,90,CAR-G*40--
231003493RE,231003493R,59,231003493R59,408599SP,ROBERT BOSCH STARTERS MOTORS GEN INDIA  ,AS1,ALTERNATEUR 90A     ,1,15,0,5,5,300,200,200,CAR-G*15--
231006005RE,231006005R,70,231006005R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ALTERNATEUR 90A     ,6,40,0.005,31.3,5.2,300,200,90,CAR-G*40--
231006006RE,231006006R,59,231006006R59,408599SP,ROBERT BOSCH STARTERS MOTORS GEN INDIA  ,AS1,ALTERNATEUR 90A     ,1,15,0,5,5,300,200,200,CAR-G*15--
231006987RE,231006987R,59,231006987R59,408599SP,ROBERT BOSCH STARTERS MOTORS GEN INDIA  ,AS1,ALTERNATEUR 90A     ,3,15,0.012,15.17,5,300,200,200,CAR-G*15--
231006987RE,231006987R,70,231006987R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ALTERNATEUR 90A     ,3,15,0.012,15.17,5,300,200,200,CAR-G*15--
231007256RE,231007256R,70,231007256R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ALTNTR -70A         ,1,9,0.072,1.549,0.989,600,400,300,CAR-G*09--
231008017RE,231008017R,70,231008017R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ALTERNATOR TG12C214 ,32,40,0.005,200.74,6.27,300,200,90,CAR-G*40--
231008344RE,231008344R,60,231008344R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ALTERNATEUR 90A     ,4,40,0.005,20.1,5,300,200,90,CAR-G*40--
231008502RE,231008502R,70,231008502R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"ALTNTR,55A          ",20,40,0.005,76.4,3.815,300,200,90,CAR-G*40--
231024977RE,231024977R,60,231024977R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,STATOR-ALTNTR       ,1,40,0.005,5.3,5.2,300,200,90,CAR-G*40--
231028254RE,231028254R,60,231028254R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,STATOR-ALTNTR       ,5,9,0.072,4.17,0.722,600,400,300,CAR-G*09--
231028390RE,231028390R,60,231028390R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,STATOR-ALTNTR       ,1,40,0.005,5.3,5.2,300,200,90,CAR-G*40--
231084413RE,231084413R,60,231084413R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ROTOR ASSY-ALTNR    ,4,40,0.005,0.312,0.053,300,200,90,CAR-G*40--
231084577RE,231084577R,60,231084577R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ROTOR ASSY-ALTNR    ,1,40,0.005,5.3,5.2,300,200,90,CAR-G*40--
231088351RE,231088351R,60,231088351R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ROTOR ASSY-ALTNR    ,1,40,0.005,5.3,5.2,300,200,90,CAR-G*40--
231185139RE,231185139R,60,231185139R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"BRG-ALTNTR, FR      ",1,40,0.005,5.3,5.2,300,200,90,CAR-G*40--
231206922RE,231206922R,60,231206922R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"BRG-ALTNTR, FR      ",6,40,0.005,31.3,5.2,300,200,90,CAR-G*40--
231882210RE,231882210R,60,231882210R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ECR FIX BRCH CBLJ AL,50,40,0,0.45,0.009,300,200,90,CAR-G*40--
232154240RE,232154240R,60,232154240R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,REGULATOR-VOLTA     ,4,40,0.005,0.78,0.17,300,200,90,CAR-G*40--
232174670RE,232174670R,60,232174670R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,COVER-ALTNTR VOLT   ,6,40,0.005,31.3,5.2,300,200,90,CAR-G*40--
232303413RE,232303413R,60,232303413R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"DIODE, ALTERNAT     ",4,40,0.005,4.056,0.989,300,200,90,CAR-G*40--
232306749RE,232306749R,60,232306749R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,"DIODE, ALTERNATOR   ",3,40,0.005,15.7,5.2,300,200,90,CAR-G*40--
233002394R7,233002394R,66,233002394R66,408599,SEG INDIA PVT. LTD.                     ,1,STARTER-MOTOR       ,100,3P,0.961,243,2.2,1140,980,860,CAR-S*2991
233002394RH,233002394R,70,233002394R70,408599,SEG INDIA PVT. LTD.                     ,1,STARTER-MOTOR       ,100,3P,0.961,243,2.2,1140,980,860,CAR-S*2991
233002394RK,233002394R,66,233002394R66,408599,SEG INDIA PVT. LTD.                     ,1,STARTER-MOTOR       ,100,3P,0.961,243,2.2,1140,980,860,CAR-S*2991
233002394RY,233002394R,70,233002394R70,408599,SEG INDIA PVT. LTD.                     ,1,STARTER-MOTOR       ,100,3P,0.961,243,2.2,1140,980,860,CAR-S*2991
233002596RE,233002596R,70,233002596R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,DEMARREUR           ,570,40,0.005,1710.1,3,300,200,90,CAR-G*40--
233003152RE,233003152R,70,233003152R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,STARTER-MOTOR       ,8,40,0.005,41.7,5.2,300,200,90,CAR-G*40--
233003951R7,233003951R,66,233003951R66,408599,SEG INDIA PVT. LTD.                     ,1,STARTER MOTOR       ,100,3P,0.961,233,2.1,1140,980,860,CAR-S*2991
233003951RI,233003951R,64,233003951R64,408599,SEG INDIA PVT. LTD.                     ,1,STARTER MOTOR       ,100,3P,0.961,233,2.1,1140,980,860,CAR-S*2991
233004754RE,233004754R,70,233004754R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,STARTER-MOTOR       ,3,40,0.005,7.018,2.306,300,200,90,CAR-G*40--
233006904RD,233006904R,70,233006904R70,431234,SONA BL PRECISION FORG LTD              ,0,STARTER-MOTOR       ,240,V6,1.184,616,2.08,1190,1150,865,CKD---6IND
233006LB1AH,233006LB1A,HB,233006LB1AHB,00143N  ,ROBERT BOSCH STARTER MOTORS GENERATORS  ,NIS,MOTOR ASSY-STARTER  ,252,ID,1.473,605.4,2.2,1180,1140,1095,NIS---DZAD
233006LB1AX,233006LB1A,XB,233006LB1AXB,00143N  ,ROBERT BOSCH STARTER MOTORS GENERATORS  ,NIS,MOTOR ASSY-STARTER  ,252,ID,1.473,605.4,2.2,1180,1140,1095,NIS---DZAD
233006RC0A1,233006RC0A,1B,233006RC0A1B,00143N  ,ROBERT BOSCH STARTER MOTORS GENERATORS  ,NIS,MOTOR ASSY-STARTER  ,252,ID,1.473,605.4,2.2,1180,1140,1095,NIS---DZAD
233006RC0AP,233006RC0A,PB,233006RC0APB,00143N  ,ROBERT BOSCH STARTER MOTORS GENERATORS  ,NIS,MOTOR ASSY-STARTER  ,252,ID,1.473,605.4,2.2,1180,1140,1095,NIS---DZAD
233006UB0BU,233006UB0B,UB,233006UB0BUB,00143N  ,ROBERT BOSCH STARTER MOTORS GENERATORS  ,NIS,MOTOR ASSY-STARTER  ,144,J2,0.903,413.08,2.32,1190,1150,660,NIS----R8H
233008820RG,233008820R,68,233008820R68,431234,SONA BL PRECISION FORG LTD              ,0,STARTER MOTOR       ,125,3P,0.961,403.5,2.94,1140,980,860,CAR-S*2991
233008820RI,233008820R,68,233008820R68,431234,SONA BL PRECISION FORG LTD              ,0,STARTER MOTOR       ,125,3P,0.961,403.5,2.94,1140,980,860,CAR-S*2991
233008820RS,233008820R,66,233008820R66,431234,SONA BL PRECISION FORG LTD              ,0,STARTER MOTOR       ,125,3P,0.961,409.5,2.94,1140,980,860,CAR-S*2991
233008820RT,233008820R,68,233008820R68,431234,SONA BL PRECISION FORG LTD              ,0,STARTER MOTOR       ,125,3P,0.961,403.5,2.94,1140,980,860,CAR-S*2991
233008820RY,233008820R,68,233008820R68,431234,SONA BL PRECISION FORG LTD              ,0,STARTER MOTOR       ,125,3P,0.961,403.5,2.94,1140,980,860,CAR-S*2991
233088217RE,233088217R,60,233088217R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,RING KIT- STARTER   ,13,40,0.005,1.491,0.107,300,200,90,CAR-G*40--
233105130RE,233105130R,60,233105130R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ARMATURE - STARTE   ,13,40,0.005,1.491,0.107,300,200,90,CAR-G*40--
233439518RE,233439518R,60,233439518R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,STARTER-MOTOR       ,13,40,0.005,28.7,2.2,300,200,90,CAR-G*40--
233541374RE,233541374R,60,233541374R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,STARTER PINION      ,13,40,0.005,28.7,2.2,300,200,90,CAR-G*40--
233544174RE,233544174R,60,233544174R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,STARTER PINION      ,8,40,0,1.368,0.171,300,200,90,CAR-G*40--
237103339SE,237103339S,70,237103339S70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ENGINE CONTROL      ,5,40,0.005,0.145,0.009,300,200,90,CAR-G*40--
237103862SE,237103862S,60,237103862S60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,UNIT-ELEC ENGIN.    ,12,40,0.005,0.127,0.0023,300,200,90,CAR-G*40--
237104756SB,237104756S,66,237104756S66,270697,NISSAN MOTORS INDIA P LTD               ,SR1,ENGINE CONTROL      ,2,40,0.005,0.102,0.001,300,200,90,CAR-G*40--
237104756SE,237104756S,70,237104756S70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,UNIT-ELEC PROGRAM   ,7,40,0.005,15.5,2.2,300,200,90,CAR-G*40--
237106019SE,237106019S,60,237106019S60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,UNIT-ELEC PROGRAM   ,5,40,0.005,1.49,0.278,300,200,90,CAR-G*40--
237106024SE,237106024S,60,237106024S60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,UNIT-ELEC PROGRAM   ,3,40,0.005,0.934,0.278,300,200,90,CAR-G*40--
237109893RE,237109893R,60,237109893R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,BOITIER ELCQ CALIBRE,1,14,0.018,0.42,0.2,400,300,150,CAR-G*14--
237142515RE,237142515R,60,237142515R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,SUPT-ENG CONT ECU   ,2,40,0.005,0.656,0.278,300,200,90,CAR-G*40--
237145578RE,237145578R,70,237145578R70,270697,NISSAN MOTORS INDIA P LTD               ,SR1,SUPT-ENG CONT ECU   ,70,40,0.005,2.2,0.03,300,200,90,CAR-G*40--
237149659RE,237149659R,60,237149659R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,SUPT-ENG CONT ECU   ,11,40,0.005,3.158,0.278,300,200,90,CAR-G*40--
240101816RE,240101816R,60,240101816R60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,HARN-MAIN           ,2,40,0.005,2.78,1.34,300,200,90,CAR-G*40--
240110764SE,240110764S,60,240110764S60,270697,NISSAN MOTORS INDIA P LTD               ,SR1,HARN-ENG            ,2,40,0.005,0.314,0.107,300,200,90,CAR-G*40--
